Date,Governorate,Cases,Deaths,CFR (%),Attack Rate (per 1000),COD Gov English,COD Gov Arabic,COD Gov Pcode
2017-09-16,Raymah,11257,108,0.96,18.552,Raymah,ريمة,31
2017-09-16,Lahj,17771,20,0.11,17.615,Lahj,لحج,25
2017-09-16,Al Jawf,9728,20,0.21,16.813,Al Jawf,الجوف,16
2017-09-16,Ibb,46656,266,0.57,15.777,Ibb,إب,11
2017-09-16,Taizz,40364,179,0.44,13.462,Taizz,تعز,15
2017-09-16,Marib,4213,7,0.17,11.750,Marib,مأرب,26
2017-09-16,Al Maharah,1159,1,0.09,7.560,Al Maharah,المهرة,28
2017-09-16,Sa'ada,3966,5,0.13,4.351,Sa'ada,صعدة,22
2017-09-16,Shabwah,1198,3,0.25,1.884,Shabwah,شبوة,21
2017-09-16,Moklla,382,1,0.26,0.493,#N/A,#N/A,#N/A
2017-09-16,Say'on,14,0,0.00,0.021,#N/A,#N/A,#N/A
2017-09-15,Amran,69266,161,0.23,59.683,Amran,عمران,29
2017-09-15,Al Mahwit,40118,140,0.35,54.940,Al Mahwit,المحويت,27
2017-09-15,Al Dhale'e,38591,79,0.20,52.756,Al Dhale'e,الضالع,30
2017-09-15,Abyan,24414,35,0.14,42.769,Abyan,أبين,12
2017-09-15,Hajjah,76104,393,0.52,32.666,Hajjah,حجة,17
2017-09-15,Dhamar,60057,148,0.25,29.845,Dhamar,ذمار,20
2017-09-15,Al Bayda,20831,28,0.13,27.431,Al Bayda,البيضاء,14
2017-09-15,Al Hudaydah,86571,241,0.28,26.734,Al Hudaydah,الحديدة,18
2017-09-15,Amanat Al Asimah,71740,66,0.09,25.369,Amanat Al Asimah,أمانة العاصمة,13
2017-09-15,Sana'a,35155,122,0.35,23.909,Sana'a,صنعاء,23
2017-09-15,Aden,17050,60,0.35,18.472,Aden,عدن,24
2017-09-15,Raymah,11203,108,0.96,18.463,Raymah,ريمة,31
2017-09-15,Lahj,17529,20,0.11,17.375,Lahj,لحج,25
2017-09-15,Al Jawf,9638,20,0.21,16.658,Al Jawf,الجوف,16
2017-09-15,Ibb,46442,266,0.57,15.705,Ibb,إب,11
2017-09-15,Taizz,40361,179,0.44,13.461,Taizz,تعز,15
2017-09-15,Marib,4180,7,0.17,11.658,Marib,مأرب,26
2017-09-15,Al Maharah,1159,1,0.09,7.560,Al Maharah,المهرة,28
2017-09-15,Sa'ada,3872,5,0.13,4.248,Sa'ada,صعدة,22
2017-09-15,Shabwah,1185,3,0.25,1.863,Shabwah,شبوة,21
2017-09-15,Moklla,364,1,0.27,0.470,#N/A,#N/A,#N/A
2017-09-15,Say'on,14,0,0.00,0.021,#N/A,#N/A,#N/A
2017-09-14,Amran,68155,161,0.24,58.726,Amran,عمران,29
2017-09-14,Al Mahwit,39803,140,0.35,54.509,Al Mahwit,المحويت,27
2017-09-14,Al Dhale'e,38328,79,0.21,52.397,Al Dhale'e,الضالع,30
2017-09-14,Abyan,24079,35,0.15,42.182,Abyan,أبين,12
2017-09-14,Hajjah,75421,393,0.52,32.373,Hajjah,حجة,17
2017-09-14,Dhamar,59514,148,0.25,29.576,Dhamar,ذمار,20
2017-09-14,Al Bayda,20714,27,0.13,27.277,Al Bayda,البيضاء,14
2017-09-14,Al Hudaydah,85697,241,0.28,26.464,Al Hudaydah,الحديدة,18
2017-09-14,Amanat Al Asimah,71346,66,0.09,25.230,Amanat Al Asimah,أمانة العاصمة,13
2017-09-14,Sana'a,34585,122,0.35,23.522,Sana'a,صنعاء,23
2017-09-14,Aden,16980,60,0.35,18.397,Aden,عدن,24
2017-09-14,Raymah,11157,108,0.97,18.387,Raymah,ريمة,31
2017-09-14,Lahj,17527,20,0.11,17.373,Lahj,لحج,25
2017-09-14,Al Jawf,9538,20,0.21,16.485,Al Jawf,الجوف,16
2017-09-14,Ibb,46229,265,0.57,15.633,Ibb,إب,11
2017-09-14,Taizz,40082,179,0.45,13.368,Taizz,تعز,15
2017-09-14,Marib,4148,7,0.17,11.569,Marib,مأرب,26
2017-09-14,Al Maharah,1159,1,0.09,7.560,Al Maharah,المهرة,28
2017-09-14,Sa'ada,3781,5,0.13,4.148,Sa'ada,صعدة,22
2017-09-14,Shabwah,1164,3,0.26,1.830,Shabwah,شبوة,21
2017-09-14,Moklla,355,1,0.28,0.458,#N/A,#N/A,#N/A
2017-09-14,Say'on,14,0,0.00,0.021,#N/A,#N/A,#N/A
2017-09-13,Amran,68151,161,0.24,58.723,Amran,عمران,29
2017-09-13,Al Mahwit,39617,140,0.35,54.254,Al Mahwit,المحويت,27
2017-09-13,Al Dhale'e,38036,79,0.21,51.998,Al Dhale'e,الضالع,30
2017-09-13,Abyan,23685,35,0.15,41.492,Abyan,أبين,12
2017-09-13,Hajjah,74349,393,0.53,31.913,Hajjah,حجة,17
2017-09-13,Dhamar,58334,146,0.25,28.989,Dhamar,ذمار,20
2017-09-13,Al Bayda,20547,27,0.13,27.057,Al Bayda,البيضاء,14
2017-09-13,Al Hudaydah,84545,241,0.29,26.109,Al Hudaydah,الحديدة,18
2017-09-13,Amanat Al Asimah,71081,66,0.09,25.136,Amanat Al Asimah,أمانة العاصمة,13
2017-09-13,Sana'a,34276,122,0.36,23.312,Sana'a,صنعاء,23
2017-09-13,Aden,16917,60,0.35,18.328,Aden,عدن,24
2017-09-13,Raymah,11083,107,0.97,18.265,Raymah,ريمة,31
2017-09-13,Lahj,17116,20,0.12,16.966,Lahj,لحج,25
2017-09-13,Al Jawf,9419,20,0.21,16.279,Al Jawf,الجوف,16
2017-09-13,Ibb,46025,264,0.57,15.564,Ibb,إب,11
2017-09-13,Taizz,39771,176,0.44,13.265,Taizz,تعز,15
2017-09-13,Marib,4148,7,0.17,11.569,Marib,مأرب,26
2017-09-13,Al Maharah,1156,1,0.09,7.540,Al Maharah,المهرة,28
2017-09-13,Sa'ada,3679,5,0.14,4.036,Sa'ada,صعدة,22
2017-09-13,Shabwah,1164,3,0.26,1.830,Shabwah,شبوة,21
2017-09-13,Moklla,338,1,0.30,0.436,#N/A,#N/A,#N/A
2017-09-13,Say'on,14,0,0.00,0.021,#N/A,#N/A,#N/A
2017-09-12,Amran,67590,161,0.24,58.239,Amran,عمران,29
2017-09-12,Al Mahwit,39300,138,0.35,53.820,Al Mahwit,المحويت,27
2017-09-12,Al Dhale'e,38036,79,0.21,51.998,Al Dhale'e,الضالع,30
2017-09-12,Abyan,23681,35,0.15,41.485,Abyan,أبين,12
2017-09-12,Hajjah,73720,392,0.53,31.643,Hajjah,حجة,17
2017-09-12,Dhamar,58315,146,0.25,28.980,Dhamar,ذمار,20
2017-09-12,Al Bayda,20323,27,0.13,26.762,Al Bayda,البيضاء,14
2017-09-12,Al Hudaydah,83472,241,0.29,25.777,Al Hudaydah,الحديدة,18
2017-09-12,Amanat Al Asimah,70669,66,0.09,24.991,Amanat Al Asimah,أمانة العاصمة,13
2017-09-12,Sana'a,33977,122,0.36,23.108,Sana'a,صنعاء,23
2017-09-12,Aden,16822,60,0.36,18.225,Aden,عدن,24
2017-09-12,Raymah,11035,107,0.97,18.186,Raymah,ريمة,31
2017-09-12,Lahj,16877,20,0.12,16.729,Lahj,لحج,25
2017-09-12,Al Jawf,9298,20,0.22,16.070,Al Jawf,الجوف,16
2017-09-12,Ibb,45643,264,0.58,15.435,Ibb,إب,11
2017-09-12,Taizz,39589,176,0.44,13.204,Taizz,تعز,15
2017-09-12,Marib,4114,7,0.17,11.474,Marib,مأرب,26
2017-09-12,Al Maharah,1154,1,0.09,7.527,Al Maharah,المهرة,28
2017-09-12,Sa'ada,3590,5,0.14,3.939,Sa'ada,صعدة,22
2017-09-12,Shabwah,1150,3,0.26,1.808,Shabwah,شبوة,21
2017-09-12,Moklla,313,1,0.32,0.404,#N/A,#N/A,#N/A
2017-09-12,Say'on,10,0,0.00,0.015,#N/A,#N/A,#N/A
2017-09-11,Amran,67099,161,0.24,57.816,Amran,عمران,29
2017-09-11,Al Mahwit,38833,138,0.36,53.181,Al Mahwit,المحويت,27
2017-09-11,Al Dhale'e,37498,79,0.21,51.262,Al Dhale'e,الضالع,30
2017-09-11,Abyan,23465,35,0.15,41.107,Abyan,أبين,12
2017-09-11,Hajjah,73077,391,0.54,31.367,Hajjah,حجة,17
2017-09-11,Dhamar,57774,146,0.25,28.711,Dhamar,ذمار,20
2017-09-11,Al Bayda,20141,27,0.13,26.523,Al Bayda,البيضاء,14
2017-09-11,Al Hudaydah,82301,241,0.29,25.416,Al Hudaydah,الحديدة,18
2017-09-11,Amanat Al Asimah,70350,66,0.09,24.878,Amanat Al Asimah,أمانة العاصمة,13
2017-09-11,Sana'a,33674,122,0.36,22.902,Sana'a,صنعاء,23
2017-09-11,Aden,16742,60,0.36,18.139,Aden,عدن,24
2017-09-11,Raymah,10957,106,0.97,18.058,Raymah,ريمة,31
2017-09-11,Lahj,16637,20,0.12,16.491,Lahj,لحج,25
2017-09-11,Al Jawf,9180,20,0.22,15.866,Al Jawf,الجوف,16
2017-09-11,Ibb,45314,262,0.58,15.324,Ibb,إب,11
2017-09-11,Taizz,39411,175,0.44,13.144,Taizz,تعز,15
2017-09-11,Marib,4029,7,0.17,11.237,Marib,مأرب,26
2017-09-11,Al Maharah,1153,1,0.09,7.521,Al Maharah,المهرة,28
2017-09-11,Sa'ada,3473,5,0.14,3.810,Sa'ada,صعدة,22
2017-09-11,Shabwah,1111,3,0.27,1.747,Shabwah,شبوة,21
2017-09-11,Moklla,313,1,0.32,0.404,#N/A,#N/A,#N/A
2017-09-11,Say'on,10,0,0.00,0.015,#N/A,#N/A,#N/A
2017-09-10,Amran,66512,161,0.24,57.310,Amran,عمران,29
2017-09-10,Al Mahwit,38702,138,0.36,53.001,Al Mahwit,المحويت,27
2017-09-10,Al Dhale'e,37206,79,0.21,50.863,Al Dhale'e,الضالع,30
2017-09-10,Abyan,23222,35,0.15,40.681,Abyan,أبين,12
2017-09-10,Hajjah,72029,390,0.54,30.917,Hajjah,حجة,17
2017-09-10,Dhamar,57168,146,0.26,28.410,Dhamar,ذمار,20
2017-09-10,Al Bayda,19931,27,0.14,26.246,Al Bayda,البيضاء,14
2017-09-10,Al Hudaydah,81187,241,0.30,25.072,Al Hudaydah,الحديدة,18
2017-09-10,Amanat Al Asimah,70012,66,0.09,24.758,Amanat Al Asimah,أمانة العاصمة,13
2017-09-10,Sana'a,33390,122,0.37,22.709,Sana'a,صنعاء,23
2017-09-10,Aden,16606,60,0.36,17.991,Aden,عدن,24
2017-09-10,Raymah,10905,106,0.97,17.972,Raymah,ريمة,31
2017-09-10,Lahj,16424,20,0.12,16.280,Lahj,لحج,25
2017-09-10,Al Jawf,9082,20,0.22,15.697,Al Jawf,الجوف,16
2017-09-10,Ibb,44881,262,0.58,15.177,Ibb,إب,11
2017-09-10,Taizz,38975,175,0.45,12.999,Taizz,تعز,15
2017-09-10,Marib,3994,7,0.18,11.140,Marib,مأرب,26
2017-09-10,Al Maharah,1151,1,0.09,7.508,Al Maharah,المهرة,28
2017-09-10,Sa'ada,3350,5,0.15,3.675,Sa'ada,صعدة,22
2017-09-10,Shabwah,1084,3,0.28,1.704,Shabwah,شبوة,21
2017-09-10,Moklla,311,1,0.32,0.402,#N/A,#N/A,#N/A
2017-09-10,Say'on,10,0,0.00,0.015,#N/A,#N/A,#N/A
2017-09-09,Amran,66018,161,0.24,56.885,Amran,عمران,29
2017-09-09,Al Mahwit,38398,138,0.36,52.585,Al Mahwit,المحويت,27
2017-09-09,Al Dhale'e,37201,79,0.21,50.856,Al Dhale'e,الضالع,30
2017-09-09,Abyan,23222,35,0.15,40.681,Abyan,أبين,12
2017-09-09,Hajjah,71067,389,0.55,30.504,Hajjah,حجة,17
2017-09-09,Dhamar,56617,146,0.26,28.136,Dhamar,ذمار,20
2017-09-09,Al Bayda,19767,27,0.14,26.030,Al Bayda,البيضاء,14
2017-09-09,Al Hudaydah,80232,240,0.30,24.777,Al Hudaydah,الحديدة,18
2017-09-09,Amanat Al Asimah,69601,66,0.09,24.613,Amanat Al Asimah,أمانة العاصمة,13
2017-09-09,Sana'a,33128,122,0.37,22.531,Sana'a,صنعاء,23
2017-09-09,Aden,16522,60,0.36,17.900,Aden,عدن,24
2017-09-09,Raymah,10849,106,0.98,17.880,Raymah,ريمة,31
2017-09-09,Lahj,16261,20,0.12,16.118,Lahj,لحج,25
2017-09-09,Al Jawf,8944,20,0.22,15.458,Al Jawf,الجوف,16
2017-09-09,Ibb,44331,262,0.59,14.991,Ibb,إب,11
2017-09-09,Taizz,38742,175,0.45,12.921,Taizz,تعز,15
2017-09-09,Marib,3915,7,0.18,10.919,Marib,مأرب,26
2017-09-09,Al Maharah,1148,1,0.09,7.488,Al Maharah,المهرة,28
2017-09-09,Sa'ada,3307,5,0.15,3.628,Sa'ada,صعدة,22
2017-09-09,Shabwah,1025,3,0.29,1.612,Shabwah,شبوة,21
2017-09-09,Moklla,304,1,0.33,0.393,#N/A,#N/A,#N/A
2017-09-09,Say'on,10,0,0.00,0.015,#N/A,#N/A,#N/A
2017-09-08,Amran,65510,161,0.25,56.447,Amran,عمران,29
2017-09-08,Al Mahwit,38136,138,0.36,52.226,Al Mahwit,المحويت,27
2017-09-08,Al Dhale'e,36641,79,0.22,50.090,Al Dhale'e,الضالع,30
2017-09-08,Abyan,23030,35,0.15,40.345,Abyan,أبين,12
2017-09-08,Hajjah,70893,389,0.55,30.430,Hajjah,حجة,17
2017-09-08,Dhamar,56081,146,0.26,27.870,Dhamar,ذمار,20
2017-09-08,Al Bayda,19574,27,0.14,25.776,Al Bayda,البيضاء,14
2017-09-08,Al Hudaydah,79360,240,0.30,24.507,Al Hudaydah,الحديدة,18
2017-09-08,Amanat Al Asimah,69162,65,0.09,24.458,Amanat Al Asimah,أمانة العاصمة,13
2017-09-08,Sana'a,32652,122,0.37,22.207,Sana'a,صنعاء,23
2017-09-08,Aden,16522,60,0.36,17.900,Aden,عدن,24
2017-09-08,Raymah,10788,106,0.98,17.779,Raymah,ريمة,31
2017-09-08,Lahj,16090,20,0.12,15.949,Lahj,لحج,25
2017-09-08,Al Jawf,8810,20,0.23,15.227,Al Jawf,الجوف,16
2017-09-08,Ibb,44128,262,0.59,14.923,Ibb,إب,11
2017-09-08,Taizz,38737,175,0.45,12.920,Taizz,تعز,15
2017-09-08,Marib,3914,7,0.18,10.916,Marib,مأرب,26
2017-09-08,Al Maharah,1147,1,0.09,7.482,Al Maharah,المهرة,28
2017-09-08,Sa'ada,3238,5,0.15,3.553,Sa'ada,صعدة,22
2017-09-08,Shabwah,1025,3,0.29,1.612,Shabwah,شبوة,21
2017-09-08,Moklla,304,1,0.33,0.393,#N/A,#N/A,#N/A
2017-09-08,Say'on,10,0,0.00,0.015,#N/A,#N/A,#N/A
2017-09-07,Amran,64803,161,0.25,55.838,Amran,عمران,29
2017-09-07,Al Mahwit,37854,138,0.36,51.840,Al Mahwit,المحويت,27
2017-09-07,Al Dhale'e,36306,79,0.22,49.633,Al Dhale'e,الضالع,30
2017-09-07,Abyan,22675,35,0.15,39.723,Abyan,أبين,12
2017-09-07,Hajjah,69428,389,0.56,29.801,Hajjah,حجة,17
2017-09-07,Dhamar,55498,146,0.26,27.580,Dhamar,ذمار,20
2017-09-07,Al Bayda,19369,27,0.14,25.506,Al Bayda,البيضاء,14
2017-09-07,Amanat Al Asimah,68872,65,0.09,24.355,Amanat Al Asimah,أمانة العاصمة,13
2017-09-07,Al Hudaydah,78706,239,0.30,24.305,Al Hudaydah,الحديدة,18
2017-09-07,Sana'a,32283,122,0.38,21.956,Sana'a,صنعاء,23
2017-09-07,Aden,16435,60,0.37,17.806,Aden,عدن,24
2017-09-07,Raymah,10726,106,0.99,17.677,Raymah,ريمة,31
2017-09-07,Lahj,15870,20,0.13,15.731,Lahj,لحج,25
2017-09-07,Al Jawf,8696,20,0.23,15.030,Al Jawf,الجوف,16
2017-09-07,Ibb,43801,262,0.60,14.812,Ibb,إب,11
2017-09-07,Taizz,38623,175,0.45,12.882,Taizz,تعز,15
2017-09-07,Marib,3914,7,0.18,10.916,Marib,مأرب,26
2017-09-07,Al Maharah,1147,1,0.09,7.482,Al Maharah,المهرة,28
2017-09-07,Sa'ada,3176,5,0.16,3.484,Sa'ada,صعدة,22
2017-09-07,Shabwah,1025,3,0.29,1.612,Shabwah,شبوة,21
2017-09-07,Moklla,276,1,0.36,0.356,#N/A,#N/A,#N/A
2017-09-07,Say'on,10,0,0.00,0.015,#N/A,#N/A,#N/A
2017-09-06,Amran,64154,160,0.25,55.279,Amran,عمران,29
2017-09-06,Al Mahwit,37617,137,0.36,51.515,Al Mahwit,المحويت,27
2017-09-06,Al Dhale'e,35958,79,0.22,49.157,Al Dhale'e,الضالع,30
2017-09-06,Abyan,22673,35,0.15,39.719,Abyan,أبين,12
2017-09-06,Hajjah,68433,387,0.57,29.374,Hajjah,حجة,17
2017-09-06,Dhamar,54819,145,0.26,27.242,Dhamar,ذمار,20
2017-09-06,Al Bayda,19153,27,0.14,25.222,Al Bayda,البيضاء,14
2017-09-06,Amanat Al Asimah,68349,64,0.09,24.170,Amanat Al Asimah,أمانة العاصمة,13
2017-09-06,Al Hudaydah,78091,239,0.31,24.116,Al Hudaydah,الحديدة,18
2017-09-06,Sana'a,32160,122,0.38,21.872,Sana'a,صنعاء,23
2017-09-06,Aden,16341,60,0.37,17.704,Aden,عدن,24
2017-09-06,Raymah,10689,106,0.99,17.616,Raymah,ريمة,31
2017-09-06,Lahj,15867,20,0.13,15.728,Lahj,لحج,25
2017-09-06,Al Jawf,8570,20,0.23,14.812,Al Jawf,الجوف,16
2017-09-06,Ibb,43794,262,0.60,14.810,Ibb,إب,11
2017-09-06,Taizz,38351,175,0.46,12.791,Taizz,تعز,15
2017-09-06,Marib,3868,7,0.18,10.788,Marib,مأرب,26
2017-09-06,Al Maharah,1143,1,0.09,7.456,Al Maharah,المهرة,28
2017-09-06,Sa'ada,3105,5,0.16,3.407,Sa'ada,صعدة,22
2017-09-06,Shabwah,962,3,0.31,1.513,Shabwah,شبوة,21
2017-09-06,Moklla,272,1,0.37,0.351,#N/A,#N/A,#N/A
2017-09-06,Say'on,10,0,0.00,0.015,#N/A,#N/A,#N/A
2017-09-05,Amran,63255,160,0.25,54.504,Amran,عمران,29
2017-09-05,Al Mahwit,37310,137,0.37,51.095,Al Mahwit,المحويت,27
2017-09-05,Al Dhale'e,35602,79,0.22,48.670,Al Dhale'e,الضالع,30
2017-09-05,Abyan,22477,35,0.16,39.376,Abyan,أبين,12
2017-09-05,Hajjah,67770,386,0.57,29.089,Hajjah,حجة,17
2017-09-05,Dhamar,54157,145,0.27,26.913,Dhamar,ذمار,20
2017-09-05,Al Bayda,18903,27,0.14,24.892,Al Bayda,البيضاء,14
2017-09-05,Amanat Al Asimah,68040,64,0.09,24.061,Amanat Al Asimah,أمانة العاصمة,13
2017-09-05,Al Hudaydah,77286,239,0.31,23.867,Al Hudaydah,الحديدة,18
2017-09-05,Sana'a,31758,122,0.38,21.599,Sana'a,صنعاء,23
2017-09-05,Aden,16282,60,0.37,17.640,Aden,عدن,24
2017-09-05,Raymah,10621,106,1.00,17.504,Raymah,ريمة,31
2017-09-05,Lahj,15653,20,0.13,15.515,Lahj,لحج,25
2017-09-05,Ibb,43501,262,0.60,14.711,Ibb,إب,11
2017-09-05,Al Jawf,8388,20,0.24,14.497,Al Jawf,الجوف,16
2017-09-05,Taizz,38067,175,0.46,12.696,Taizz,تعز,15
2017-09-05,Marib,3868,7,0.18,10.788,Marib,مأرب,26
2017-09-05,Al Maharah,1140,1,0.09,7.436,Al Maharah,المهرة,28
2017-09-05,Sa'ada,3035,5,0.16,3.330,Sa'ada,صعدة,22
2017-09-05,Shabwah,818,3,0.37,1.286,Shabwah,شبوة,21
2017-09-05,Moklla,268,1,0.37,0.346,#N/A,#N/A,#N/A
2017-09-05,Say'on,10,0,0.00,0.015,#N/A,#N/A,#N/A
2017-09-04,Amran,62702,159,0.25,54.027,Amran,عمران,29
2017-09-04,Al Mahwit,36952,136,0.37,50.605,Al Mahwit,المحويت,27
2017-09-04,Al Dhale'e,35309,79,0.22,48.270,Al Dhale'e,الضالع,30
2017-09-04,Abyan,22277,35,0.16,39.025,Abyan,أبين,12
2017-09-04,Hajjah,67237,384,0.57,28.860,Hajjah,حجة,17
2017-09-04,Dhamar,53512,145,0.27,26.593,Dhamar,ذمار,20
2017-09-04,Al Bayda,18724,27,0.14,24.657,Al Bayda,البيضاء,14
2017-09-04,Amanat Al Asimah,67734,64,0.09,23.953,Amanat Al Asimah,أمانة العاصمة,13
2017-09-04,Al Hudaydah,76528,239,0.31,23.633,Al Hudaydah,الحديدة,18
2017-09-04,Sana'a,31646,122,0.39,21.523,Sana'a,صنعاء,23
2017-09-04,Aden,16200,60,0.37,17.552,Aden,عدن,24
2017-09-04,Raymah,10523,106,1.01,17.342,Raymah,ريمة,31
2017-09-04,Lahj,15446,20,0.13,15.310,Lahj,لحج,25
2017-09-04,Ibb,43210,262,0.61,14.612,Ibb,إب,11
2017-09-04,Al Jawf,8297,20,0.24,14.340,Al Jawf,الجوف,16
2017-09-04,Taizz,37683,175,0.46,12.568,Taizz,تعز,15
2017-09-04,Marib,3622,7,0.19,10.102,Marib,مأرب,26
2017-09-04,Al Maharah,1137,1,0.09,7.417,Al Maharah,المهرة,28
2017-09-04,Sa'ada,2966,5,0.17,3.254,Sa'ada,صعدة,22
2017-09-04,Shabwah,743,1,0.13,1.168,Shabwah,شبوة,21
2017-09-04,Moklla,245,1,0.41,0.316,#N/A,#N/A,#N/A
2017-09-04,Say'on,10,0,0.00,0.015,#N/A,#N/A,#N/A
2017-09-03,Amran,62213,159,0.26,53.606,Amran,عمران,29
2017-09-03,Al Mahwit,36484,136,0.37,49.964,Al Mahwit,المحويت,27
2017-09-03,Al Dhale'e,35013,79,0.23,47.865,Al Dhale'e,الضالع,30
2017-09-03,Abyan,22052,35,0.16,38.631,Abyan,أبين,12
2017-09-03,Hajjah,66320,384,0.58,28.467,Hajjah,حجة,17
2017-09-03,Dhamar,52927,145,0.27,26.302,Dhamar,ذمار,20
2017-09-03,Al Bayda,18487,27,0.15,24.345,Al Bayda,البيضاء,14
2017-09-03,Amanat Al Asimah,67222,64,0.10,23.772,Amanat Al Asimah,أمانة العاصمة,13
2017-09-03,Al Hudaydah,75850,239,0.32,23.424,Al Hudaydah,الحديدة,18
2017-09-03,Sana'a,31466,122,0.39,21.400,Sana'a,صنعاء,23
2017-09-03,Aden,16119,60,0.37,17.464,Aden,عدن,24
2017-09-03,Raymah,10477,106,1.01,17.267,Raymah,ريمة,31
2017-09-03,Lahj,15238,20,0.13,15.104,Lahj,لحج,25
2017-09-03,Ibb,42845,262,0.61,14.489,Ibb,إب,11
2017-09-03,Al Jawf,8170,19,0.23,14.121,Al Jawf,الجوف,16
2017-09-03,Taizz,37529,175,0.47,12.517,Taizz,تعز,15
2017-09-03,Marib,3622,7,0.19,10.102,Marib,مأرب,26
2017-09-03,Al Maharah,1130,1,0.09,7.371,Al Maharah,المهرة,28
2017-09-03,Sa'ada,2920,5,0.17,3.204,Sa'ada,صعدة,22
2017-09-03,Shabwah,743,1,0.13,1.168,Shabwah,شبوة,21
2017-09-03,Moklla,228,1,0.44,0.294,#N/A,#N/A,#N/A
2017-09-03,Say'on,10,0,0.00,0.015,#N/A,#N/A,#N/A
2017-09-02,Amran,61736,159,0.26,53.195,Amran,عمران,29
2017-09-02,Al Mahwit,36178,136,0.38,49.545,Al Mahwit,المحويت,27
2017-09-02,Al Dhale'e,34779,79,0.23,47.545,Al Dhale'e,الضالع,30
2017-09-02,Abyan,21814,35,0.16,38.214,Abyan,أبين,12
2017-09-02,Hajjah,65943,384,0.58,28.305,Hajjah,حجة,17
2017-09-02,Dhamar,52376,145,0.28,26.028,Dhamar,ذمار,20
2017-09-02,Al Bayda,18323,27,0.15,24.129,Al Bayda,البيضاء,14
2017-09-02,Amanat Al Asimah,66928,64,0.10,23.668,Amanat Al Asimah,أمانة العاصمة,13
2017-09-02,Al Hudaydah,75303,239,0.32,23.255,Al Hudaydah,الحديدة,18
2017-09-02,Sana'a,31333,122,0.39,21.310,Sana'a,صنعاء,23
2017-09-02,Aden,16021,59,0.37,17.358,Aden,عدن,24
2017-09-02,Raymah,10421,106,1.02,17.174,Raymah,ريمة,31
2017-09-02,Lahj,15022,20,0.13,14.890,Lahj,لحج,25
2017-09-02,Ibb,42487,259,0.61,14.368,Ibb,إب,11
2017-09-02,Al Jawf,7882,19,0.24,13.623,Al Jawf,الجوف,16
2017-09-02,Taizz,37395,175,0.47,12.472,Taizz,تعز,15
2017-09-02,Marib,3622,7,0.19,10.102,Marib,مأرب,26
2017-09-02,Al Maharah,1126,1,0.09,7.345,Al Maharah,المهرة,28
2017-09-02,Sa'ada,2863,5,0.17,3.141,Sa'ada,صعدة,22
2017-09-02,Shabwah,743,1,0.13,1.168,Shabwah,شبوة,21
2017-09-02,Moklla,221,1,0.45,0.285,#N/A,#N/A,#N/A
2017-09-02,Say'on,10,0,0.00,0.015,#N/A,#N/A,#N/A
2017-09-01,Amran,61414,159,0.26,52.918,Amran,عمران,29
2017-09-01,Al Mahwit,36036,136,0.38,49.350,Al Mahwit,المحويت,27
2017-09-01,Al Dhale'e,34778,79,0.23,47.544,Al Dhale'e,الضالع,30
2017-09-01,Abyan,21586,35,0.16,37.815,Abyan,أبين,12
2017-09-01,Hajjah,65176,383,0.59,27.976,Hajjah,حجة,17
2017-09-01,Dhamar,51891,145,0.28,25.787,Dhamar,ذمار,20
2017-09-01,Al Bayda,18177,27,0.15,23.936,Al Bayda,البيضاء,14
2017-09-01,Amanat Al Asimah,66675,64,0.10,23.578,Amanat Al Asimah,أمانة العاصمة,13
2017-09-01,Al Hudaydah,74657,239,0.32,23.055,Al Hudaydah,الحديدة,18
2017-09-01,Sana'a,31281,122,0.39,21.275,Sana'a,صنعاء,23
2017-09-01,Aden,15955,59,0.37,17.286,Aden,عدن,24
2017-09-01,Raymah,10348,106,1.02,17.054,Raymah,ريمة,31
2017-09-01,Lahj,14911,20,0.13,14.780,Lahj,لحج,25
2017-09-01,Ibb,42188,259,0.61,14.266,Ibb,إب,11
2017-09-01,Al Jawf,7882,19,0.24,13.623,Al Jawf,الجوف,16
2017-09-01,Taizz,37309,175,0.47,12.443,Taizz,تعز,15
2017-09-01,Marib,3622,7,0.19,10.102,Marib,مأرب,26
2017-09-01,Al Maharah,1121,1,0.09,7.312,Al Maharah,المهرة,28
2017-09-01,Sa'ada,2802,5,0.18,3.074,Sa'ada,صعدة,22
2017-09-01,Shabwah,727,1,0.14,1.143,Shabwah,شبوة,21
2017-09-01,Moklla,217,1,0.46,0.280,#N/A,#N/A,#N/A
2017-09-01,Say'on,10,0,0.00,0.015,#N/A,#N/A,#N/A
2017-08-31,Amran,60986,159,0.26,52.549,Amran,عمران,29
2017-08-31,Al Mahwit,35964,136,0.38,49.252,Al Mahwit,المحويت,27
2017-08-31,Al Dhale'e,34616,78,0.23,47.322,Al Dhale'e,الضالع,30
2017-08-31,Abyan,21328,35,0.16,37.363,Abyan,أبين,12
2017-08-31,Hajjah,64832,383,0.59,27.828,Hajjah,حجة,17
2017-08-31,Dhamar,51556,145,0.28,25.621,Dhamar,ذمار,20
2017-08-31,Al Bayda,18070,27,0.15,23.795,Al Bayda,البيضاء,14
2017-08-31,Amanat Al Asimah,66523,64,0.10,23.524,Amanat Al Asimah,أمانة العاصمة,13
2017-08-31,Al Hudaydah,74102,239,0.32,22.884,Al Hudaydah,الحديدة,18
2017-08-31,Sana'a,31204,122,0.39,21.222,Sana'a,صنعاء,23
2017-08-31,Aden,15883,59,0.37,17.208,Aden,عدن,24
